Title,Author,ISBN,Publisher,Date Read,Shelves,Bookshelves,read_dates,tags,authors,isbn10,isbn13,owned,dropped_dates,currently_reading
Harry Potter e la Pietra Filosofale,J. K. Rowling,9788893814508,Salani,2026/05/09,,JuvenileFiction Fantasy General,"2026/05/08,2026/05/09","Juvenile Fiction,Fantasy,General",J. K. Rowling,8893814501,9788893814508,true,,
Le ore più buie,Michael Connelly,9788858528198,Edizioni Piemme,,,Fiction Thrillers Crime Legal Suspense,,"Fiction,Thrillers,Crime,Legal,Suspense",Michael Connelly,,9788858528198,,,
Era di maggio,Antonio Manzini,9788838933745,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Antonio Manzini,,9788838933745,,,
Dodici Rintocchi,Mignon G. Eberhart,,Mondadori,,,Mystery,,Mystery,Mignon G. Eberhart,,,,,
Giorno da cani,Alicia Giménez Bartlett,9788838916120,Sellerio,,,Crime Mystery Thriller Humour,,"Crime,Mystery,Thriller,Humour",Alicia Giménez Bartlett,,9788838916120,,,
L'uomo inquieto,Henning Mankell,9788831707282,Marsilio,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Henning Mankell,,9788831707282,,,
La stella del deserto,Michael Connelly,9788858530153,Edizioni Piemme,,,Fiction Crime Thrillers Suspense Mystery&Detective PoliceProcedural,,"Fiction,Crime,Thrillers,Suspense,Mystery & Detective,Police Procedural",Michael Connelly,,9788858530153,,,
Un male necessario,Abir Mukherjee,9788893902038,SEM,,,Mystery Historical Crime,,"Mystery,Historical,Crime",Abir Mukherjee,,9788893902038,,,
Memoria,David Lagercrantz,9789113102610,Nordstedts,,,Crime Thriller,,"Crime,Thriller",David Lagercrantz,,9789113102610,,,
Pista nera,Antonio Manzini,9788838930287,Sellerio,,,Mystery Crime Thriller,,"Mystery,Crime,Thriller",Antonio Manzini,,9788838930287,,,
La regola dell'equilibrio,Gianrico Carofiglio,9788806218126,Einaudi,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Gianrico Carofiglio,,9788806218126,,,
Il vicino di casa,Linwood Barclay,9788858500095,Edizioni Piemme,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Linwood Barclay,,9788858500095,,,
Il messaggio nella bottiglia,Jussi Adler-Olsen,9788831719438,Marsilio,,,Mystery Crime Thriller,,"Mystery,Crime,Thriller",Jussi Adler-Olsen,,9788831719438,,,
Assassinio allo specchio,Agatha Christie,9788804510123,Mondadori,,,Mystery Crime Classics,,"Mystery,Crime,Classics",Agatha Christie,,9788804510123,,,
Il lato oscuro dell'addio,Michael Connelly,9788858516584,Edizioni Piemme,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Michael Connelly,,9788858516584,,,
Troverò la chiave,Alex Ahndoril,9788850270330,TEA,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Alex Ahndoril,,9788850270330,,,
La lista,Michael Connelly,9788858502341,Edizioni Piemme,,,Fiction Thrillers Legal Crime Suspense Mystery&Detective PoliceProcedural,,"Fiction,Thrillers,Legal,Crime,Suspense,Mystery & Detective,Police Procedural",Michael Connelly,,9788858502341,,,
